model,lens,layer,metric,estimate,low,high
base,published,16,clean_kurtosis,1.5125775337219238,1.4436820030212403,1.571641445159912
base,published,16,lesion_kurtosis,0.8216097354888916,0.8083586692810059,0.8449170589447021
base,published,16,lesion_minus_clean_kurtosis,-0.5988166332244873,-0.6303277015686035,-0.510291337966919
base,published,16,lesion_to_clean_norm_ratio,0.9941553473472595,0.9940540194511414,0.9942686922848225
base,published,16,clean_lesion_cosine,0.993591845035553,0.993135929107666,0.9940799385309219
base,published,18,clean_kurtosis,1.5936145782470703,1.536705493927002,1.6491175711154935
base,published,18,lesion_kurtosis,0.776893138885498,0.7060762882232666,0.8663151264190674
base,published,18,lesion_minus_clean_kurtosis,-0.7385127544403076,-0.9422507286071777,-0.6564785242080688
base,published,18,lesion_to_clean_norm_ratio,0.9419453740119934,0.9409559369087219,0.9426926374435425
base,published,18,clean_lesion_cosine,0.9652956128120422,0.9647604160010814,0.9664866924285889
base,published,19,clean_kurtosis,1.9852304458618164,1.8778009414672852,2.0867185592651367
base,published,19,lesion_kurtosis,0.9636693000793457,0.9040768146514893,1.0527424812316895
base,published,19,lesion_minus_clean_kurtosis,-0.9523913860321045,-1.027055263519287,-0.8587033748626709
base,published,19,lesion_to_clean_norm_ratio,0.8820085525512695,0.8789786100387573,0.8856762513518333
base,published,19,clean_lesion_cosine,0.9313579797744751,0.9289815425872803,0.9343387484550476
base,published,20,clean_kurtosis,1.8054819107055664,1.7049846649169922,2.0212764739990234
base,published,20,lesion_kurtosis,1.0538558959960938,0.9966084957122803,1.130655288696289
base,published,20,lesion_minus_clean_kurtosis,-0.787376880645752,-1.1017076969146729,-0.5942330360412598
base,published,20,lesion_to_clean_norm_ratio,0.8425940275192261,0.8400133289396763,0.8482114672660828
base,published,20,clean_lesion_cosine,0.8923003673553467,0.8906974196434021,0.8943645901978016
base,published,21,clean_kurtosis,1.9298515319824219,1.909637063741684,1.964369297027588
base,published,21,lesion_kurtosis,1.0173039436340332,0.9885108470916748,1.0746681690216064
base,published,21,lesion_minus_clean_kurtosis,-0.8697481155395508,-0.9058852195739746,-0.8126944065093995
base,published,21,lesion_to_clean_norm_ratio,0.8171082139015198,0.8059597611427307,0.8242922425270081
base,published,21,clean_lesion_cosine,0.8748340606689453,0.8710490763187408,0.880107581615448
base,published,22,clean_kurtosis,2.4268345832824707,2.288543236255646,2.68593168258667
base,published,22,lesion_kurtosis,1.2582602500915527,1.1703604459762573,1.320509910583496
base,published,22,lesion_minus_clean_kurtosis,-1.4670143127441406,-1.5499134063720703,-1.177435278892517
base,published,22,lesion_to_clean_norm_ratio,0.7831193804740906,0.7788971066474915,0.7874274849891663
base,published,22,clean_lesion_cosine,0.8523324728012085,0.8489540815353394,0.8575847148895264
base,own_fresh,16,clean_kurtosis,1.2461881637573242,1.204810619354248,1.2876715660095215
base,own_fresh,16,lesion_kurtosis,0.6807081699371338,0.6550126075744629,0.7042216002941132
base,own_fresh,16,lesion_minus_clean_kurtosis,-0.47655797004699707,-0.5508949786424637,-0.4057474136352539
base,own_fresh,16,lesion_to_clean_norm_ratio,0.9936739802360535,0.9932847023010254,0.9940434098243713
base,own_fresh,16,clean_lesion_cosine,0.9923011064529419,0.9914388060569763,0.9926807880401611
base,own_fresh,18,clean_kurtosis,1.44384765625,1.3789777755737305,1.4824528694152832
base,own_fresh,18,lesion_kurtosis,0.7041676044464111,0.6749300956726074,0.7662031650543213
base,own_fresh,18,lesion_minus_clean_kurtosis,-0.7270286083221436,-0.8021783828735352,-0.6704976558685303
base,own_fresh,18,lesion_to_clean_norm_ratio,0.9348155856132507,0.9330941736698151,0.9375122785568237
base,own_fresh,18,clean_lesion_cosine,0.964444637298584,0.9629184007644653,0.9659422636032104
base,own_fresh,19,clean_kurtosis,1.7249879837036133,1.654101848602295,1.796769493818283
base,own_fresh,19,lesion_kurtosis,1.04425048828125,0.9048194885253906,1.1958074569702148
base,own_fresh,19,lesion_minus_clean_kurtosis,-0.6919777393341064,-0.819602119922638,-0.5545854568481445
base,own_fresh,19,lesion_to_clean_norm_ratio,0.8736652135848999,0.8716917634010315,0.8790712356567383
base,own_fresh,19,clean_lesion_cosine,0.9262856841087341,0.9250757098197937,0.9295682907104492
base,own_fresh,20,clean_kurtosis,1.7458653450012207,1.6656157970428467,1.8634014129638672
base,own_fresh,20,lesion_kurtosis,0.9186387062072754,0.8793377876281738,0.9677774906158447
base,own_fresh,20,lesion_minus_clean_kurtosis,-0.8813016414642334,-0.9971895217895508,-0.7352266311645508
base,own_fresh,20,lesion_to_clean_norm_ratio,0.8388789892196655,0.8332051336765289,0.8414943113923072
base,own_fresh,20,clean_lesion_cosine,0.8906732797622681,0.8892195224761963,0.8956968784332275
base,own_fresh,21,clean_kurtosis,1.968003749847412,1.9441680908203125,1.9960989952087402
base,own_fresh,21,lesion_kurtosis,0.8631823062896729,0.8054640293121338,0.9024531841278076
base,own_fresh,21,lesion_minus_clean_kurtosis,-1.0994949340820312,-1.1522455215454102,-1.0481892824172974
base,own_fresh,21,lesion_to_clean_norm_ratio,0.8073084354400635,0.8041658699512482,0.8116199970245361
base,own_fresh,21,clean_lesion_cosine,0.8717286586761475,0.8687170743942261,0.8766074180603027
base,own_fresh,22,clean_kurtosis,2.4813594818115234,2.3758187294006348,2.7953858375549316
base,own_fresh,22,lesion_kurtosis,0.9937670230865479,0.9140872955322266,1.0935746312141417
base,own_fresh,22,lesion_minus_clean_kurtosis,-1.7004148960113525,-1.8491900324821473,-1.2764459192752846
base,own_fresh,22,lesion_to_clean_norm_ratio,0.7788682579994202,0.7761915788054466,0.7820690274238586
base,own_fresh,22,clean_lesion_cosine,0.8525303602218628,0.8498258255422115,0.8572801351547241
primary,published,16,clean_kurtosis,1.2059502601623535,1.153407096862793,1.2524045050144195
primary,published,16,lesion_kurtosis,0.8517260551452637,0.7974226474761963,0.8766145706176758
primary,published,16,lesion_minus_clean_kurtosis,-0.3444974422454834,-0.37231596410274503,-0.30455756187438965
primary,published,16,lesion_to_clean_norm_ratio,0.9907549619674683,0.9893931150436401,0.9914946556091309
primary,published,16,clean_lesion_cosine,0.9883614778518677,0.9870129227638245,0.9896488189697266
primary,published,18,clean_kurtosis,1.4292149543762207,1.3348703384399414,1.7486262321472168
primary,published,18,lesion_kurtosis,1.5303449630737305,1.4927473068237305,1.5753593444824219
primary,published,18,lesion_minus_clean_kurtosis,-0.03033304214477539,-0.20658636093139648,0.11536979675292969
primary,published,18,lesion_to_clean_norm_ratio,0.9375524520874023,0.9336252264678478,0.9421586990356445
primary,published,18,clean_lesion_cosine,0.9563430547714233,0.9540590047836304,0.9581344723701477
primary,published,19,clean_kurtosis,1.7435340881347656,1.6625232696533203,2.1312105655670166
primary,published,19,lesion_kurtosis,1.5428543090820312,1.496969223022461,1.6760835647583008
primary,published,19,lesion_minus_clean_kurtosis,-0.34514617919921875,-0.6377501487731934,-0.07716083526611328
primary,published,19,lesion_to_clean_norm_ratio,0.8776399493217468,0.8754732012748718,0.8812933564186096
primary,published,19,clean_lesion_cosine,0.9168312549591064,0.9118333294987678,0.9198739528656006
primary,published,20,clean_kurtosis,1.640721321105957,1.4769649505615234,2.314164161682129
primary,published,20,lesion_kurtosis,1.5434155464172363,1.4774208068847656,1.6916618347167969
primary,published,20,lesion_minus_clean_kurtosis,-0.36197328567504883,-0.7548686623573303,-0.09162473678588867
primary,published,20,lesion_to_clean_norm_ratio,0.863416850566864,0.8495818972587585,0.8710610270500183
primary,published,20,clean_lesion_cosine,0.884577751159668,0.8752852976322174,0.8916560411453247
