model,lens,cohort,rows,correct,accuracy
base,published,pooled,129,27,0.20930232558139536
primary,published,pooled,129,126,0.9767441860465116
replicate,published,pooled,129,119,0.9224806201550387
base,own_fresh,pooled,129,27,0.20930232558139536
primary,own_fresh,pooled,129,124,0.9612403100775194
replicate,own_fresh,pooled,129,121,0.937984496124031
base,published,screen,65,15,0.23076923076923078
primary,published,screen,65,63,0.9692307692307692
replicate,published,screen,65,60,0.9230769230769231
base,own_fresh,screen,65,17,0.26153846153846155
primary,own_fresh,screen,65,61,0.9384615384615385
replicate,own_fresh,screen,65,61,0.9384615384615385
base,published,transfer,49,22,0.4489795918367347
primary,published,transfer,49,34,0.6938775510204082
replicate,published,transfer,49,32,0.6530612244897959
base,own_fresh,transfer,49,26,0.5306122448979592
primary,own_fresh,transfer,49,34,0.6938775510204082
replicate,own_fresh,transfer,49,31,0.6326530612244898
