step,loss,grad_norm_pre_clip,learning_rate,epoch_passes,step_seconds,source_ids,allocated_gib,reserved_gib,peak_allocated_gib,peak_reserved_gib
1,0.8355061188340187,281.45855712890625,2e-07,0.021164021164021163,3.2167596016079187,"[""co-currency-t0"", ""zm-region-t0"", ""th-capital-t2"", ""bg-capital-t3""]",43.6743106842041,60.28515625,57.237470626831055,60.28515625
2,0.8615037724375725,181.57972717285156,4e-07,0.042328042328042326,3.074243361130357,"[""il-capital-t1"", ""tz-region-t1"", ""gh-region-t0"", ""ch-currency-t3""]",43.6743106842041,66.201171875,65.54278469085693,66.201171875
3,0.916380301117897,204.3061065673828,6e-07,0.06349206349206349,3.021478831768036,"[""cd-region-t2"", ""gh-region-t1"", ""bg-region-t0"", ""lt-region-t2""]",43.6743106842041,67.388671875,65.54278469085693,67.388671875
4,0.9644162505865097,211.47914123535156,8e-07,0.08465608465608465,2.9497681241482496,"[""ch-region-t3"", ""zw-region-t2"", ""so-region-t0"", ""dk-capital-t3""]",43.6743106842041,67.388671875,65.54278469085693,67.388671875
5,0.8132829517126083,220.52134704589844,1e-06,0.10582010582010581,3.0381554132327437,"[""rw-region-t2"", ""ve-capital-t1"", ""no-capital-t3"", ""ma-currency-t1""]",43.6743106842041,67.421875,65.55474662780762,67.421875
6,0.49818633683025837,183.2664794921875,1e-06,0.12698412698412698,3.1147976173087955,"[""no-capital-t0"", ""sn-region-t2"", ""bg-region-t1"", ""hk-region-t2""]",43.6743106842041,67.421875,65.55474662780762,67.421875
7,0.27409908547997475,79.18693542480469,1e-06,0.14814814814814814,3.0111215878278017,"[""cm-region-t1"", ""ch-capital-t2"", ""pk-capital-t3"", ""th-region-t1""]",43.6743106842041,67.421875,65.55474662780762,67.421875
8,0.06804818473756313,19.569944381713867,1e-06,0.1693121693121693,2.993802490644157,"[""pk-capital-t2"", ""dk-region-t2"", ""bg-capital-t0"", ""mz-region-t0""]",43.6743106842041,67.421875,65.55474662780762,67.421875
9,0.07491886150091887,19.79363250732422,1e-06,0.19047619047619047,3.0030671441927552,"[""ir-capital-t1"", ""ly-region-t2"", ""mz-region-t2"", ""co-currency-t2""]",43.6743106842041,67.421875,65.55474662780762,67.421875
10,0.052232697256840765,24.606037139892578,1e-06,0.21164021164021163,3.000583021901548,"[""ne-region-t0"", ""zw-region-t0"", ""th-capital-t0"", ""ch-currency-t2""]",43.6743106842041,67.421875,65.55474662780762,67.421875
11,0.015381864504888654,4.368577003479004,1e-06,0.2328042328042328,3.0013834927231073,"[""cd-region-t1"", ""ne-region-t1"", ""cd-region-t3"", ""mm-region-t1""]",43.6743106842041,67.421875,65.55474662780762,67.421875
12,0.02992082032142207,19.21414566040039,1e-06,0.25396825396825395,3.0254469895735383,"[""nl-region-t2"", ""eh-currency-t0"", ""nl-capital-t2"", ""rw-region-t3""]",43.6743106842041,67.421875,65.55474662780762,67.421875
13,0.2419743936334271,132.58543395996094,1e-06,0.2751322751322751,3.086355815641582,"[""rw-region-t0"", ""by-region-t1"", ""lt-currency-t3"", ""ae-region-t0""]",43.6743106842041,67.421875,65.55474662780762,67.421875
14,0.0025614526311983354,1.3471660614013672,1e-06,0.2962962962962963,3.022529838606715,"[""bf-region-t2"", ""ro-currency-t0"", ""cm-region-t0"", ""tn-region-t0""]",43.6743106842041,67.421875,65.55474662780762,67.421875
15,0.0005947455319983419,0.3372284173965454,1e-06,0.31746031746031744,3.0417432794347405,"[""bf-region-t0"", ""no-region-t1"", ""th-capital-t1"", ""no-region-t3""]",43.6743106842041,67.4453125,65.5792760848999,67.4453125
16,0.007157674666814273,3.905409097671509,1e-06,0.3386243386243386,3.0829235333949327,"[""tw-region-t0"", ""tw-capital-t0"", ""et-region-t1"", ""sn-capital-t3""]",43.6743106842041,67.4453125,65.5792760848999,67.4453125
17,0.006822407089202898,4.650814533233643,1e-06,0.35978835978835977,3.038573076017201,"[""pk-capital-t1"", ""vn-currency-t1"", ""ch-region-t1"", ""bj-region-t2""]",43.6743106842041,67.4453125,65.5792760848999,67.4453125
18,0.0003463732973614242,0.23575282096862793,1e-06,0.38095238095238093,3.1807528166100383,"[""hk-region-t1"", ""zw-region-t3"", ""ve-capital-t0"", ""tw-region-t3""]",43.6743106842041,67.4453125,65.5792760848999,67.4453125
19,0.0033148982338389033,1.6047393083572388,1e-06,0.4021164021164021,3.0447474997490644,"[""ma-currency-t2"", ""tn-capital-t2"", ""ch-capital-t0"", ""sn-region-t0""]",43.6743106842041,67.4453125,65.5792760848999,67.4453125
20,0.005292847254168009,2.949298858642578,1e-06,0.42328042328042326,3.1581780426204205,"[""nl-currency-t3"", ""pr-currency-t1"", ""nl-region-t1"", ""ne-region-t2""]",43.6743106842041,67.4453125,65.5792760848999,67.4453125
21,0.0014866465571685694,0.526393711566925,1e-06,0.4444444444444444,3.041917805559933,"[""tw-capital-t1"", ""eh-region-t0"", ""ro-currency-t2"", ""tn-capital-t3""]",43.6743106842041,67.4453125,65.5792760848999,67.4453125
22,0.000654385414236458,0.3386785089969635,1e-06,0.4656084656084656,3.0898627853021026,"[""il-capital-t2"", ""dk-capital-t2"", ""co-currency-t1"", ""vn-currency-t3""]",43.6743106842041,67.4453125,65.5792760848999,67.4453125
23,0.00010203650163020939,0.04019521549344063,1e-06,0.48677248677248675,3.070264331996441,"[""nl-capital-t0"", ""bj-region-t1"", ""cg-region-t1"", ""th-capital-t3""]",43.6743106842041,67.4453125,65.5792760848999,67.4453125
